Timestamp,Program Studi,Angkatan,Apakah Anda aktif dalam berorganisasi/kepanitiaan ?,Jenis Kelamin,Kelompok Usia,Tempat tinggal,Seberapa sering anda mengunjungi KANDEP dalam seminggu?,Kapan Anda mengunjungi KANDEP?,Berapa lama durasi rata-rata Anda menghabiskan waktu di KANDEP?,Tenant mana yang sering anda kunjungi? ,Apakah Anda menggunakan kupon/promo/diskon?,Apakah Anda memiliki lebih dari satu tenant favorit?,Faktor apa yang Anda utamakan dalam pemilihan tenant? ,Berapa rata-rata pengeluaran Anda per kunjungan?,"Jika terjadi perubahan harga menu pada suatu tenant, Seberapa pengaruhnya terhadap Anda?",Berapa kepuasan Anda terhadap makanan di KANDEP?,Berapa kepuasan Anda terhadap kebersihan di KANDEP?,Berapa kepuasan Anda terhadap sistem pelayanan di KANDEP?,Faktor apa yang dapat meningkatkan kepuasan Anda saat mengunjungi KANDEP?,Apakah Anda membeli makanan + minuman di tenant yang sama?,Menu apa yang paling sering Anda pesan?,Apakah fasilitas kandep sudah memadai?,Apa yang perlu ditingkatkan di KANDEP?,"Berdasarkan preferensi Anda, apa kuliner baru yang ingin ditambahkan di KANDEP?"
11/22/2025 10:31:13,IF,2023,Ya,Perempuan,18-22 Tahun,Rumah,<1 kali,Siang (11.00 - 14.59),< 1 Jam,Berkah garasi boy 88,Tidak,Tidak,Harga Makanan Minuman,10.000 - 20.000,3,4,4,4,Harga Makanan Minuman,Ya,"Makanan, Minuman, Snack",4,"Tempat duduk, AC/Kipas angin, Kebersihan, Sistem Pembayaran",Dessert/makanan penutup
11/22/2025 10:32:46,IF,2025,Ya,Perempuan,18-22 Tahun,Rumah,>5 kali,Sore (15.00 - 18.59),1 - 2 Jam,Warkop bang doel,Ya,Ya,Harga Makanan Minuman,10.000 - 20.000,4,4,2,3,Harga Makanan Minuman,Ya,"Makanan, Minuman, Snack",2,"Tempat duduk, AC/Kipas angin, Kebersihan, Sistem Pembayaran, Tenant baru, Sistem Pelayanan",Japanese Food
11/22/2025 10:38:11,IF,2025,Ya,Laki-laki,18-22 Tahun,Rumah,3 kali,Pagi (06.00 - 10.59),>4 Jam,Siomay,Tidak,Ya,Kecepatan dalam pelayanan,10.000 - 20.000,3,5,4,4,Harga Makanan Minuman,Tidak,Makanan,3,"Tempat duduk, AC/Kipas angin, Kebersihan, Tenant baru",Dessert/makanan penutup
11/22/2025 10:42:30,IF,2023,Ya,Perempuan,18-22 Tahun,Rumah,<1 kali,Siang (11.00 - 14.59),< 1 Jam,Berkah garasi boy 88,Tidak,Ya,Harga Makanan Minuman,10.000 - 20.000,4,5,4,4,Harga Makanan Minuman,Tidak,Snack,4,"AC/Kipas angin, Kebersihan, Tenant baru",Dessert/makanan penutup
11/22/2025 10:47:25,SI,2023,Ya,Laki-laki,18-22 Tahun,Rumah,3 kali,Siang (11.00 - 14.59),< 1 Jam,Seblak hot,Tidak,Ya,Reputasi Tenant,10.000 - 20.000,3,4,3,4,Rasa Makanan Minuman,Tidak,"Makanan, Minuman, Snack",3,"Tempat duduk, AC/Kipas angin, Kebersihan",Japanese Food
11/22/2025 10:58:34,IF,2024,Ya,Laki-laki,18-22 Tahun,Rumah,>5 kali,Siang (11.00 - 14.59),1 - 2 Jam,Mie ayam jayabaya,Tidak,Ya,Rasa Makanan Minuman,21.000 - 30.000,5,5,3,4,Porsi yang di dapatkan,Ya,"Makanan, Minuman, Snack",2,"AC/Kipas angin, Kebersihan, Tenant baru",Western Food
11/22/2025 11:05:29,IF,2025,Tidak,Laki-laki,18-22 Tahun,Kos/Apartemen,3 kali,Siang (11.00 - 14.59),>4 Jam,Berkah garasi boy 88,Tidak,Tidak,Harga Makanan Minuman,10.000 - 20.000,2,3,1,3,Harga Makanan Minuman,Ya,"Makanan, Minuman",2,"Tempat duduk, AC/Kipas angin, Kebersihan",Western Food
11/22/2025 11:59:17,MN,2023,Ya,Laki-laki,18-22 Tahun,Rumah,>5 kali,Siang (11.00 - 14.59),1 - 2 Jam,Siomay,Tidak,Ya,Rasa Makanan Minuman,10.000 - 20.000,3,3,3,4,Rasa Makanan Minuman,Tidak,"Makanan, Minuman",4,Tempat duduk,Western Food
11/22/2025 12:05:35,MN,2023,Tidak,Laki-laki,<18 Tahun,Rumah,>5 kali,Siang (11.00 - 14.59),< 1 Jam,Warkop bang doel,Ya,Ya,Harga Makanan Minuman,10.000 - 20.000,1,5,3,5,Porsi yang di dapatkan,Ya,"Makanan, Minuman",4,"Kebersihan, Tenant baru",Western Food
11/22/2025 12:16:01,MN,2021,Ya,Laki-laki,23-30 Tahun,Rumah,3 kali,Siang (11.00 - 14.59),1 - 2 Jam,Siomay,Ya,Ya,Rasa Makanan Minuman,10.000 - 20.000,2,4,5,5,Rasa Makanan Minuman,Ya,Minuman,3,Sistem Pembayaran,Japanese Food
